Symbol,threshold
MSFT,1.5
AAPL,1.35
AMZN,1.45
FB,1.4
JNJ,1.45
GOOG,1.45
GOOGL,1.4
PG,1.3
JPM,1.4
V,1.4
INTC,1.6
VZ,1.35
UNH,1.6
MA,1.35
T,1.2
HD,1.3
MRK,1.4
PFE,1.35
PEP,1.4
WMT,1.45
DIS,1.6
KO,1.4
XOM,1.3
CSCO,1.4
BAC,1.5
NFLX,1.4
CMCSA,1.5
NVDA,1.7
ADBE,1.3
CVX,1.3
ABT,1.6
BMY,1.65
COST,1.6
AMGN,1.5
MCD,1.5
CRM,1.4
LLY,1.65
MDT,1.5
PM,1.55
TMO,1.55
ABBV,1.6
PYPL,1.35
NEE,1.35
ORCL,1.65
WFC,1.45
GILD,1.45
AMT,1.75
NKE,1.5
ACN,1.4
UNP,1.55
IBM,1.4
TXN,1.4
AVGO,1.45
HON,1.55
LIN,1.45
LMT,1.5
DHR,1.6
C,1.55
MMM,1.6
SBUX,1.5
QCOM,1.35
MDLZ,1.45
RTX,2
CVS,1.7
FIS,1.5
MO,1.3
CHTR,1.4
BA,1.6
CAT,1.6
UPS,1.4
LOW,1.55
CME,1.4
BDX,1.7
VRTX,1.3
CI,1.6
CCI,1.6
GE,1.75
SPGI,1.65
CL,1.4
AGN,1.85
D,1.4
INTU,1.45
ADP,1.45
DUK,1.45
ZTS,1.5
PLD,1.45
BIIB,1.65
ISRG,1.4
EQIX,1.7
SO,1.25
ANTM,1.9
BKNG,1.45
AMD,1.45
TJX,1.5
AXP,1.6
BLK,1.4
FISV,1.25
NOC,1.8
SYK,1.6
NOW,1.3
TGT,1.5
GS,1.5
CB,1.5
ATVI,1.3
MU,1.5
ICE,1.6
KMB,1.45
PGR,1.55
USB,1.4
CSX,1.8
BSX,1.4
DE,1.6
BAX,1.55
DG,1.6
APD,1.4
ITW,1.45
MMC,1.45
LHX,1.75
REGN,1.45
MS,1.55
EW,1.3
AMAT,1.6
ILMN,1.55
HUM,1.85
NEM,1.6
SCHW,1.75
GPN,1.4
PNC,1.35
NSC,1.6
ECL,1.7
TFC,1.4
COP,1.4
AON,1.7
AEP,1.4
DLR,1.65
WM,1.4
SHW,1.7
EL,1.75
GIS,1.6
MCO,1.8
ADI,1.5
EXC,1.45
CNC,1.5
LRCX,1.5
ROP,1.5
TMUS,1.4
WBA,1.65
ADSK,1.45
XEL,1.5
EA,1.6
SBAC,1.55
ETN,1.5
SRE,1.45
GD,1.75
PSA,1.6
BK,1.5
ALL,1.45
EMR,1.55
ROST,1.8
WEC,1.45
FDX,2
KMI,1.3
ED,1.45
KR,1.6
INFO,1.2
ES,1.5
TRV,1.7
AFL,1.5
CTSH,1.8
DD,1.8
EOG,1.8
VRSK,1.65
PSX,1.4
MSCI,1.7
GM,1.6
EBAY,1.8
ORLY,1.4
CLX,1.5
PEG,1.5
TROW,1.45
STZ,2
RMD,1.6
A,1.8
MSI,1.6
HCA,1.75
MET,1.5
HPQ,1.45
PCAR,1.3
HSY,1.4
DOW,1.4
MNST,1.5
FE,1.5
AWK,1.6
BLL,1.7
APH,1.7
CMI,1.6
MCK,1.75
KLAC,1.55
SYY,1.6
WLTW,1.45
IDXX,1.25
XLNX,1.8
ALXN,1.6
SLB,1.4
COF,1.6
JCI,1.35
TEL,1.6
CERN,1.75
ADM,1.5
OTIS,2
TT,2
YUM,1.8
STT,1.55
PPG,1.55
ZBH,1.65
PAYX,1.4
EQR,1.55
VRSN,1.4
AZO,1.45
ANSS,1.4
IQV,1.4
SNPS,1.4
PRU,1.45
AVB,1.6
CDNS,1.4
MKC,1.8
TWTR,1.7
AIG,1.65
EIX,1.6
FAST,1.6
ROK,1.7
CTVA,1.5
DTE,1.5
PPL,1.35
AEE,1.5
DLTR,1.7
VLO,1.6
ETR,1.3
CHD,1.6
F,1.6
WMB,1.45
NTRS,1.5
CTXS,1.65
AME,1.75
MAR,1.75
VFC,1.6
FTV,1.7
ARE,1.45
FLT,1.5
TSN,1.5
K,1.5
HLT,1.8
KHC,1.5
CMG,1.4
CMS,1.4
KEYS,1.3
AKAM,1.3
MTD,1.5
RSG,1.5
MCHP,1.85
CAG,1.8
WELL,1.6
O,1.45
PH,1.6
MKTX,1.75
LUV,1.75
FTNT,1.5
SWK,1.65
SPG,1.6
AJG,1.4
INCY,1.5
GLW,1.45
FRC,1.6
TIF,1.65
CARR,2
COO,1.4
SWKS,1.5
CAH,1.75
CTAS,1.55
TFX,1.75
HRL,1.75
TDG,1.2
TTWO,1.45
MXIM,1.45
VMC,1.8
MPC,1.6
DAL,1.6
LVS,1.5
EFX,1.6
SJM,1.45
AMCR,1.4
CPRT,1.25
CDW,1.6
ESS,1.55
EXR,1.5
PXD,1.85
ABC,1.7
KSU,1.5
BBY,1.6
MTB,1.4
HPE,1.6
BXP,1.55
CBRE,1.45
JKHY,1.7
LYB,1.45
EVRG,1.4
STE,1.55
LDOS,1.45
ODFL,1.85
WAT,1.3
OXY,1.45
HIG,1.65
IP,1.45
EXPD,1.6
AMP,1.4
WY,1.35
ATO,1.55
DOV,1.4
WDC,1.9
APTV,1.75
LH,1.55
ALGN,1.75
NDAQ,1.6
DRE,1.45
LNT,1.4
NUE,1.55
XYL,1.6
DHI,1.55
OMC,1.7
CINF,1.45
J,1.7
MAA,1.35
ANET,1.65
STX,1.5
IFF,1.65
BR,1.7
MLM,1.95
GWW,1.7
NLOK,1.6
IEX,1.6
GRMN,1.55
CBOE,1.7
PEAK,1.25
DGX,1.6
ZBRA,1.4
FITB,1.4
CXO,2
TSCO,1.75
LEN,1.85
CHRW,1.45
UDR,1.45
MAS,1.5
FMC,1.55
FCX,1.8
ULTA,1.7
DFS,1.6
KEY,1.4
OKE,1.4
HOLX,1.35
VAR,1.4
CTL,1.5
HES,1.8
QRVO,1.4
NTAP,1.55
HAS,1.75
GPC,1.5
L,1.6
CPB,1.45
NI,1.65
VTR,1.5
NVR,1.4
IT,1.6
PAYC,2
CE,1.5
IR,1.6
KMX,1.8
AES,1.45
WAB,1.75
XRAY,1.7
AVY,1.5
PKI,1.65
ALLE,1.65
FOXA,1.6
RF,1.35
ETFC,1.65
TAP,1.45
JBHT,1.85
PNW,1.45
PKG,1.45
WU,1.3
HII,1.85
SYF,1.45
CFG,1.5
LW,1.8
SIVB,1.45
WRB,1.3
RE,1.6
RJF,1.8
HBAN,1.45
COG,1.65
MYL,1.65
UHS,1.7
HSIC,1.5
URI,1.65
PFG,1.35
BKR,1.6
JNPR,1.6
EXPE,1.95
CNP,1.4
HAL,1.7
VIAC,1.65
NRG,1.7
WRK,1.45
HST,1.3
GL,1.6
FFIV,1.6
ABMD,1.6
IRM,1.4
EMN,1.5
AIZ,1.45
PRGO,1.75
DVA,1.55
AAP,1.5
TXT,1.6
DISCK,1.4
CF,1.5
ALB,1.8
DRI,1.6
MGM,1.6
REG,1.7
LKQ,1.5
SNA,1.65
IPG,1.4
WHR,1.5
FANG,1.8
ROL,1.95
VNO,1.2
UAL,1.55
AOS,1.8
FBHS,1.6
PHM,1.7
HWM,2
DISH,1.6
PNR,1.6
LYV,1.4
LNC,1.45
WYNN,1.7
NWL,1.55
FRT,1.6
AIV,1.5
RHI,1.5
PWR,1.95
BEN,1.6
BWA,1.75
NLSN,1.6
PBCT,1.4
ZION,1.45
FLIR,1.9
RCL,1.6
CMA,1.45
SEE,1.65
NOV,1.8
MHK,1.55
AAL,2
IPGP,1.65
MOS,1.6
FOX,1.6
HFC,1.6
CCL,1.5
DVN,1.8
KIM,1.4
XRX,1.7
SLG,1.4
NWSA,1.65
TPR,1.5
DXC,2.1
FLS,1.9
ALK,1.7
RL,1.7
FTI,1.6
NBL,1.75
LEG,1.4
MRO,1.8
IVZ,1.35
DISCA,1.45
UNM,1.7
HBI,1.7
LB,1.65
HRB,1.6
HOG,1.6
PVH,1.7
APA,1.6
KSS,1.5
NCLH,1.45
HP,1.4
UAA,1.55
UA,1.5
COTY,1.7
JWN,1.6
CPRI,1.65
GPS,1.6
ADS,2
NWS,1.65
ARNC,1.6
RTN,1.5
